ID,PricePredicted
845,1968198.0331503341
1924,1039252.4380659997
10718,1255064.3446273333
12076,7345551.376789993
12254,2282300.411593333
9950,2753004.3626099993
1548,2580766.43286
526,1806680.5647403311
6776,1383904.9591610013
1851,1427406.2905460019
9188,1904420.7330300002
3382,3225794.91365
242,2550717.2950800015
6439,1953530.787300001
1561,2528927.392629998
5339,2379088.0293000014
7387,2226655.867630332
11576,1573367.3198899988
5984,4905889.440800001
4486,1837770.6437188012
2205,924287.0220820004
3468,1273217.4836285003
4226,2979984.870361669
2088,2391455.1615925017
2118,2722140.500259997
8036,1318585.4884569163
23,1274618.2402990016
1898,1896640.6019966686
6976,2475476.97741
1465,3229388.914139999
2040,1416573.8562579993
482,1622892.1298693689
5122,1717649.060433072
3447,1140761.3156774007
12877,2356375.266001999
3780,1359677.7177585003
1285,1698147.2087410004
9200,2289080.480219998
921,2103535.379703665
3060,3211052.7364699994
1082,1088040.0156139995
71,2532929.78355083
4464,2183881.6223600013
4576,3464397.024350002
897,2787329.08966
1756,993605.7930210814
8745,2240378.6790300016
806,1329274.9398036662
803,1455461.9417100016
7613,1530722.3394300002
243,1293840.869676
8135,1265225.8741884998
1527,2092396.2592699998
2825,1264512.8773400004
666,1045625.4939233329
12028,1403595.33488
2308,1924741.629859999
11223,1680209.4740300009
1479,891057.6365919997
2057,2014322.9669046677
2368,1005510.0244257508
7638,2633614.3145841653
432,2049069.328650001
9800,1939053.0221300006
2140,3203014.8958800007
837,2399860.6976191667
3227,1910720.464896666
12412,2623613.5329999984
10267,1307427.216811999
3850,4169844.620329995
382,4313005.146280004
1280,2206231.5659299977
2226,4698684.213739994
4166,3548860.8757099994
5208,2790729.955189999
4513,1982246.252633999
10814,3642888.137173336
3120,2889632.930150001
7915,2090252.4380619996
3513,2218118.6264799996
9041,1337198.0167399996
561,1327075.4682530013
11041,2772689.6494765
2920,2691775.800179997
2042,1069367.7380070013
10220,1682083.7051166666
11511,1752352.29766
8424,2592726.562853337
5801,3036066.875064
10746,1273715.1911133328
11018,1067611.1066710004
816,687100.6448898833
10413,1568644.9698203327
4471,3597169.6396900015
1928,2084120.4825900008
323,1495004.2240820006
11548,2924197.3350158576
12564,2432725.208964001
5817,3492414.4369633333
1030,1294116.6342260006
3888,1665124.9799974994
2427,1991733.2537599995
5378,1971988.2408800006
3701,1481195.6748159993
4536,1503996.4184500012
3799,2593611.1443516645
9431,2488137.5294100004
10878,1188348.934814
2028,881156.7244443325
5598,1875969.8521999996
5828,4864733.725540004
2842,2087330.0246000004
279,2514632.47215
4812,2928626.5711400006
11406,1967206.4175503338
1086,1516415.670636
2696,1204125.4250860005
9220,1078680.6147120004
1496,1131808.2274269992
3737,1347059.991741555
12211,3686067.614929999
1556,1928230.7360116667
1066,1228520.260957001
1836,1143326.3319023333
10913,1319919.5057037333
1868,1329078.7917233335
12610,3447028.821309997
12146,1958254.8829300017
2087,1648669.090750972
2916,2458821.0101310005
10188,3119275.0418300005
3253,1479273.9920139993
9082,2205742.4537420003
12493,1515819.180706001
5898,3286032.1733000022
8409,2792126.477059997
5885,2069662.0051499999
1101,944066.9038935
10071,2434330.201967502
11403,4383045.842860004
728,1406198.6143964997
11647,4381373.86295
1931,1931595.7810841657
232,3199681.433755001
3988,1706364.9229919997
9416,1527244.5928719994
1866,1487334.7172349992
5685,2526326.4411400007
2779,2190296.144898334
3294,3428243.5886200005
1471,2119226.756493333
2960,1393114.457195834
10447,1836314.4614900001
1220,2189686.821195003
69,1441551.7803135
2002,3653123.5637699976
2784,2442717.7368800007
1911,2135879.054009999
3023,1627451.2325219994
3394,1583141.4098800013
5920,1544877.2161039999
688,1701404.8172099995
1511,1985347.6735366657
3572,3157855.316026667
12401,1186223.498408
10756,2597184.1775100003
4007,1333296.705736999
3230,1237525.579404
12240,3096723.580280002
10539,2035348.2522199987
3226,2667773.3297583326
2280,1068997.364372722
3650,2300777.0399033343
8540,1475465.8847140018
5847,1813187.6638300004
6694,3234743.023410001
1336,1251317.45737
2538,1807651.0402009543
7185,3366873.952800003
8314,2737152.18981
1204,959192.4936829993
2020,1425334.6204677625
2468,1430676.77674
9909,1884076.7521523342
7935,1114846.9781360012
1361,1492582.9921600001
6138,1785103.6839333323
1914,4448113.941339996
11090,2257207.725679999
9320,1522974.2162903338
172,1898786.2403142864
823,2959616.120780334
1189,1130619.9558700006
3768,928909.8603139997
2993,2094024.540324999
12873,1968782.9787100004
1146,1196488.4904343344
19,1449583.8760400002
2113,2780323.7781450003
5132,2500363.810369998
11109,2238145.6511699976
1562,1093792.705239999
337,1750444.9068531417
1981,4705147.082183338
546,1412523.545325143
7428,2070827.55802
230,1180964.7776057678
412,2719796.7765899985
2205,936185.7015973659
9114,2395191.3222200014
1803,2438669.475529998
1571,3173963.545321286
12362,4215063.643817337
8109,2006413.7156099996
3868,3275286.717720002
3013,1882118.6331720245
1011,755720.4827471332
12983,3072804.677149999
116,1895063.1558786673
3245,1890526.2751900018
2253,4634704.787356424
10879,3042677.7223099987
2246,1513294.8690699998
11494,2841176.9697099994
2259,2386282.1994133326
2199,1627011.6898973319
1692,1625785.8756684994
5772,2433585.517606003
10182,2659323.100199999
5051,2630201.3213899974
5033,5297446.144479992
11113,2176967.0771100004
51,2091524.7625200015
5129,1178385.2165859998
1550,1660643.4793500016
616,2859925.8928900003
10151,3094495.0558450003
6994,4064791.634323663
5738,2428510.821280833
5729,5402393.923490001
1122,849641.8750250004
3406,1357929.1282640004
2196,1029496.4264854011
3768,2530199.960099999
4432,2088066.5848999985
2236,1335753.3484925004
1743,2507996.7956921686
2046,2674933.1489300025
781,1043644.9768939078
1126,984368.2266139172
10472,3225203.7125799996
3524,1325479.8936666676
6922,1686758.500705929
6018,2778945.126276
2973,1984543.7870559988
8323,3861942.6611000015
576,1208329.8836
3118,1307476.659882999
5737,2704346.201410001
4642,4134543.1452833344
8425,1543243.3227229994
2245,3757399.422509998
12248,1139479.0632
2533,978731.6914672664
3134,988303.2251432218
5871,2418809.276229998
9331,2413866.1774124983
959,1714688.1060800008
2753,2651122.6697729537
2887,2286411.8340716674
11710,1870439.606889998
5279,3920191.715740002
3249,1315725.2600325833
9711,3065879.6645099986
5061,2527482.53496
2493,1850400.5858549983
627,2640412.3456136654
2618,1039310.0645671678
4698,1218036.1537949995
1575,2069494.8581
425,980672.0034108834
944,1296099.5970706663
3508,1472547.282975
3674,1528721.9953000005
3351,843669.9035979995
1348,778366.7255880001
1421,1153920.4901675005
9134,1070240.8223490005
6348,2586140.806820001
1277,2563744.29591
1152,1158976.8937865833
7783,2730042.596119997
29,2801591.5833400018
11244,982397.0218966667
5924,5165390.897269999
3001,3750960.323099997
4587,1479922.8013266674
8303,2729309.3711249977
2439,2047119.416355
3060,1938580.4106521674
8575,5735002.346250001
11031,1088967.3196360504
2056,2503123.0319499997
8657,1595426.9554800012
7669,3219869.1640074993
371,2801224.0678041647
3985,1928908.255229999
279,1756293.5350523333
2964,1529654.6179323657
5411,1121160.863361667
4555,3115867.1720699994
3310,2294043.0061308313
2340,1183036.965481
2139,1155553.4043969985
578,1708095.5198691667
2263,1140955.098091001
11168,3234475.567479998
8198,1478162.3030180004
6174,2307404.1486300025
7566,1157842.6025210002
5106,3473838.797910001
1977,2435454.34244
5663,2703634.402949999
1398,2127849.4078953345
2207,1167433.9229959997
1987,1119453.4529909992
70,2134251.0661859997
12282,3912632.579973331
5913,5135089.477410004
6506,1465999.0063120679
3957,2322268.9802803574
881,1126680.2054893342
1599,1213779.3258600004
1989,4447571.329810002
1719,1313621.8119299992
3669,1212399.2204070007
7029,3437766.7551399977
3537,2908021.2880999995
8590,2809425.2512899996
2974,1921714.4259039992
431,3700708.783703498
12647,2764026.0148800015
2062,2523367.8805500004
8040,1950262.8660499994
7744,2836156.6171899997
6155,2658239.4624900017
98,1627086.3552599985
3514,1564680.0748966676
776,1455976.1488597137
3678,801687.5659559987
2529,1040160.2714540006
1806,1714179.8802760001
6359,1175223.1814469283
200,974355.7277849992
1477,2343111.8826071676
1679,2533837.9342200025
2323,1947631.3373147622
917,1433277.3057456664
430,1006784.0894739984
3723,1125429.2543379997
6665,1419828.8981599992
2719,1189336.6704600009
10429,1440165.7707299998
428,1873946.8302200004
3995,1155400.9112390005
393,1026327.4172910015
2336,2564647.392603334
2107,1117325.7428266667
1242,911748.5761019996
7616,2273949.4738100017
11586,2857166.6215300006
762,1383904.9591610013
1677,1270396.348583
9356,1772888.6150446662
4810,2935300.475503334
1643,2617002.415859998
1977,2157918.9258866664
1102,1273217.4836285003
2231,2518372.3409199966
6369,2010614.5032399998
8299,4763051.391060003
9088,2714138.211649999
12140,1718156.8730904988
89,8422219.915269997
12948,3253425.1709099985
2387,2996045.907479997
9454,2746243.1104558324
10957,1958622.1536599991
6075,2360360.627129999
2665,1592316.935352
6511,3004527.48027
3180,1444926.7152145004
4079,3242999.360556
7372,4033864.495259999
10509,1558317.404718668
3302,2497606.9585789996
10714,1738524.311339999
1794,1642503.9515393337
6467,1934134.3465616673
10015,2164392.3753699986
12005,2446030.8530800026
11832,1697785.8491750008
7524,2016449.3606670008
680,2168137.503140001
376,4412088.427469999
8563,2151081.7363699996
2826,987673.5424920714
11426,3266244.4638999994
6426,2902232.337629999
649,5419562.309049999
2190,1981445.8869658324
11071,2559478.55436
738,1067711.497859332
3915,2831019.217579999
2056,1895038.9778663346
11297,2193785.3387499996
2113,2006256.2478450008
1235,1031510.2706121003
12351,2812898.2233399977
995,1037426.4207595001
857,1984730.438605832
1559,1532062.792160001
7580,2259499.9070999986
716,960362.123466167
3161,2359495.8459460004
6287,3493102.41995
3061,1648356.352076999
2715,1854125.3351060003
8652,3049971.854429999
8978,1974334.7878249998
11641,5102733.256839998
4811,2269619.482000002
132,2765908.7952599986
3930,1997172.063860001
12963,3784018.769959999
3625,1047215.3790019995
2256,1703751.6258799997
11883,1851866.1405163347
1393,5958671.718386667
778,2660539.2485302393
333,1154638.5649730007
2259,1335853.382492167
4898,3682778.9853999973
975,1007649.5591062659
2130,2787270.853049998
12336,2564647.392603334
12354,3359598.8841000022
1707,1098149.7796069328
432,1764294.1822866676
1815,1919760.8773609996
12357,1991771.2780049976
11140,3687428.6714800014
9197,1488792.1893699996
10500,4408292.572691497
12701,2083017.3473200013
12111,3216490.828369998
11150,2076017.5439000009
1933,2947737.589880002
4617,5964582.442039996
12312,3249606.7540199994
7129,2017927.6058140004
5744,3208635.2690166687
3903,2699081.112860525
3017,3147139.572630001
8723,3802251.009059998
3629,1687565.3702499995
2638,1077603.2190576666
1632,1534770.5949120002
3922,1530029.3346999981
2216,1042646.3594429987
5267,5288257.6619099965
11091,1735545.888110001
4964,2854938.9204800017
678,1232599.0513479998
4678,1149021.3061699986
9836,1669936.504060001
8905,3279854.4921450005
3150,1174242.671354999
1805,2469212.6807933347
11262,1697820.302371499
8024,2801620.355560001
12988,1361913.1752940002
1611,1445590.3007700015
3466,1286631.1075401986
2127,1186329.126146
497,3736015.883240003
1647,1210862.8397388342
2848,993185.3672359999
293,1742786.2033608314
